country,avg_happiness,avg_gdp
Guatemala,6.34,0.81
"El Salvador",6.12,0.83
Uzbekistan,6.05,0.72
Nicaragua,6.03,0.68
Ecuador,5.97,0.88
Belize,5.96,0.86
Peru,5.82,0.9
Bolivia,5.81,0.77
Moldova,5.76,0.67
Jamaica,5.75,0.84
Paraguay,5.71,0.84
Kosovo,5.69,0.86
Honduras,5.68,0.63
Pakistan,5.56,0.66
Philippines,5.53,0.81
Tajikistan,5.47,0.49
Somalia,5.44,0
Indonesia,5.4,0.83
